No,no transaksi,Tanggal/Bulan/Tahun,ID Supplier,Nama Supplier,ID Kategori,Kategori,Quantity Barang Supplier /Pcs,Quantity Barang blibli.com /Pcs,,Stock Tersisa
,,,,,,,,Masuk,Keluar,
1,A001,03-Jan-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,8250,8246,8250,-4
2,A001,03-Jan-19,IS002,Office Partner Solution FBB,IK02,Electronics,9,9,9,0
3,A002,08-Jan-19,IS002,Office Partner Solution FBB,IK02,Electronics,2,2,2,0
4,A003,11-Jan-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,744,504,744,-240
5,A003,11-Jan-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,156,48,156,-108
6,A003,11-Jan-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,5202,5202,5202,0
7,A004,14-Jan-19,IS003,PT. Teman Sejahtera,IK03,Gadget,1700,1700,1700,0
8,A004,14-Jan-19,IS004,Hock Official Store,IK02,Electronics,7,7,7,0
9,A004,14-Jan-19,IS004,Hock Official Store,IK02,Electronics,18,18,18,0
10,A005,15-Jan-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,500,500,500,0
11,A006,17-Jan-19,IS006,PT Inti Persahabatan Sejati,IK03,Gadget,1000,1000,1000,0
12,A007,21-Jan-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,500,500,500,0
13,A007,21-Jan-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,500,500,500,0
14,A008,23-Jan-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,500,500,500,0
15,A009,25-Jan-19,IS007,PT. Idmarco Perkasa Indonesia,IK04,Cooking Ingredients,542,332,542,-210
16,A009,25-Jan-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,1680,840,1680,-840
17,A009,25-Jan-19,IS002,Office Partner Solution FBB,IK02,Electronics,3,3,3,0
18,A009,25-Jan-19,IS008,"	PASAR HP",IK03,Gadget,165,165,165,0
19,A009,25-Jan-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,612,612,612,0
20,A009,25-Jan-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1500,500,1500,-1000
21,A010,29-Jan-19,IS003,PT. Teman Sejahtera,IK03,Gadget,666,666,666,0
22,A010,29-Jan-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,1320,1320,1320,0
23,A011,30-Jan-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,3612,3612,3612,0
24,A012,04-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,527,527,527,0
25,A012,04-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,56,56,56,0
26,A013,06-Feb-19,IS008,"	PASAR HP",IK03,Gadget,300,300,300,0
27,A014,08-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,510,486,510,-24
28,A015,09-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,107,107,107,0
29,A016,11-Feb-19,IS002,Office Partner Solution FBB,IK02,Electronics,240,240,240,0
30,A016,11-Feb-19,IS009,Union smartphone,IK03,Gadget,7,7,7,0
31,A016,11-Feb-19,IS009,Union smartphone,IK03,Gadget,1227,1220,1227,-7
32,A017,12-Feb-19,IS009,Union smartphone,IK03,Gadget,1324,3612,1324,2288
33,A017,12-Feb-19,IS002,Office Partner Solution FBB,IK02,Electronics,6,6,6,0
34,A018,14-Feb-19,IS003,PT. Teman Sejahtera,IK03,Gadget,2500,2500,2500,0
35,A019,15-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,1008,1008,1008,0
36,A019,15-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,96,96,96,0
37,A019,15-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,48,48,48,0
38,A019,15-Feb-19,IS008,"	PASAR HP",IK03,Gadget,303,303,303,0
39,A020,18-Feb-19,IS004,Hock Official Store,IK02,Electronics,22,22,22,0
40,A020,18-Feb-19,IS004,Hock Official Store,IK02,Electronics,13,12,13,-1
41,A020,18-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,1008,1008,1008,0
42,A020,18-Feb-19,IS002,Office Partner Solution FBB,IK02,Electronics,20,20,20,0
43,A021,19-Feb-19,IS003,PT. Teman Sejahtera,IK03,Gadget,1200,1200,1200,0
44,A021,19-Feb-19,IS010,Beli Donk,IK01,Health & Beauty,547,542,547,-5
45,A021,19-Feb-19,IS008,"	PASAR HP",IK03,Gadget,260,260,260,0
46,A022,20-Feb-19,IS004,Hock Official Store,IK02,Electronics,1,1,1,0
47,A023,22-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,60,60,60,0
48,A023,22-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,108,108,108,0
49,A023,22-Feb-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,6006,6006,6006,0
50,A023,22-Feb-19,IS008,"	PASAR HP",IK03,Gadget,180,80,180,-100
51,A024,26-Feb-19,IS002,Office Partner Solution FBB,IK02,Electronics,2,2,2,0
52,A024,26-Feb-19,IS003,PT. Teman Sejahtera,IK03,Gadget,1865,1865,1865,0
53,A025,28-Feb-19,IS002,Office Partner Solution FBB,IK02,Electronics,12,12,12,0
54,A026,04-Mar-19,IS008,"	PASAR HP",IK03,Gadget,600,600,600,0
55,A027,06-Mar-19,IS008,"	PASAR HP",IK03,Gadget,100,100,100,0
56,A027,06-Mar-19,IS011,Hanabi cell,IK03,Gadget,1000,1000,1000,0
57,A027,06-Mar-19,IS008,"	PASAR HP",IK03,Gadget,450,450,450,0
58,A027,06-Mar-19,IS003,PT. Teman Sejahtera,IK03,Gadget,2400,1615,2400,-785
59,A028,10-Mar-19,IS003,PT. Teman Sejahtera,IK03,Gadget,785,785,785,0
60,A029,11-Mar-19,IS002,Office Partner Solution FBB,IK02,Electronics,20,20,20,0
61,A030,13-Mar-19,IS011,Hanabi cell,IK03,Gadget,1049,1049,1049,0
62,A030,13-Mar-19,IS012,Svarna Dipa,IK03,Gadget,90,90,90,0
63,A031,15-Mar-19,IS003,PT. Teman Sejahtera,IK03,Gadget,3170,2500,3170,-670
64,A032,19-Mar-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,4000,1800,4000,-2200
65,A033,20-Mar-19,IS007,PT. Idmarco Perkasa Indonesia,IK04,Cooking Ingredients,1504,1000,1504,-504
66,A033,20-Mar-19,IS011,Hanabi cell,IK03,Gadget,1250,1250,1250,0
67,A034,22-Mar-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,852,480,852,-372
68,A034,22-Mar-19,IS011,Hanabi cell,IK03,Gadget,793,793,793,0
69,A035,25-Mar-19,IS003,PT. Teman Sejahtera,IK03,Gadget,1650,400,1650,-1250
70,A035,25-Mar-19,IS011,Hanabi cell,IK03,Gadget,1949,1949,1949,0
71,A036,26-Mar-19,IS002,Office Partner Solution FBB,IK02,Electronics,60,60,60,0
72,A037,27-Mar-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,2200,1800,2200,-400
73,A038,28-Mar-19,IS013,UNIBIS,IK05,Food,117,117,117,0
74,A039,29-Mar-19,IS003,PT. Teman Sejahtera,IK03,Gadget,1250,1250,1250,0
75,A039,29-Mar-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,400,400,400,0
76,A040,31-Mar-19,IS003,PT. Teman Sejahtera,IK03,Gadget,700,700,700,0
77,A041,01-Apr-19,IS014,PT. Kurnia Aneka Gemilang,IK05,Food,1000,1000,1000,0
78,A042,22-Apr-19,IS014,PT. Kurnia Aneka Gemilang,IK05,Food,1000,1000,1000,0
79,A043,23-Apr-19,IS015,ONE TIME VENDOR,IK06,Fashion,100,100,100,0
80,A044,30-Apr-19,IS002,Office Partner Solution FBB,IK02,Electronics,76,76,76,0
81,A045,06-May-19,IS014,PT. Kurnia Aneka Gemilang,IK05,Food,780,780,780,0
82,A045,06-May-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,1500,1500,1500,0
83,A046,07-May-19,IS003,PT. Teman Sejahtera,IK03,Gadget,400,400,400,0
84,A046,07-May-19,IS002,Office Partner Solution FBB,IK02,Electronics,40,40,40,0
85,A047,14-May-19,IS014,PT. Kurnia Aneka Gemilang,IK05,Food,594,594,594,0
86,A048,22-May-19,IS002,Office Partner Solution FBB,IK02,Electronics,3,3,3,0
87,A049,29-May-19,IS005,"PT. Salim Ivomas Pratama, Tbk",IK04,Cooking Ingredients,2000,1800,2000,-200
88,A050,10-Jun-19,IS016,PT. Pixel Perdana Jaya,IK02,Electronics,200,200,200,0
89,A051,17-Jun-19,IS016,PT. Pixel Perdana Jaya,IK02,Electronics,200,200,200,0
90,A052,04-Jul-19,IS001," 	Unilever Indonesia",IK01,Health & Beauty,4104,3036,4104,-1068
